'Name';'Constraint template';'Implying activity';'Implied activity';'Support';'Confidence level';'Interest factor'
'NotChainSuccession(Query, Response)';'NotChainSuccession';'Query';'Response';56.284;54.119;54.119
'NotSuccession(Query, Response)';'NotSuccession';'Query';'Response';8.743;8.407;8.407
'NotCoExistence(Query, Response)';'NotCoExistence';'Query';'Response';5.464;5.254;5.254
'Precedence(Request, Query)';'Precedence';'Query';'Request';80.165;77.082;77.082
'AlternatePrecedence(Request, Query)';'AlternatePrecedence';'Query';'Request';69.421;66.751;66.751
'ChainPrecedence(Request, Query)';'ChainPrecedence';'Query';'Request';66.942;64.367;64.367
'Precedence(Response, Query)';'Precedence';'Query';'Response';38.843;37.349;37.349
'AlternatePrecedence(Response, Query)';'AlternatePrecedence';'Query';'Response';20.661;19.866;19.866
'ChainPrecedence(Response, Query)';'ChainPrecedence';'Query';'Response';16.529;15.893;15.893
'AtMostOne(Request)';'AtMostOne';'Request';'';19.231;18.491;17.780
'End(Request)';'End';'Request';'';0.000;0.000;0.000
'Init(Request)';'Init';'Request';'';23.077;22.189;21.336
'Participation(Request)';'Participation';'Request';'';96.154;92.456;88.900
'Precedence(Feedback, Request)';'Precedence';'Request';'Feedback';54.545;54.545;52.448
'AlternatePrecedence(Feedback, Request)';'AlternatePrecedence';'Request';'Feedback';36.364;36.364;34.965
'ChainPrecedence(Feedback, Request)';'ChainPrecedence';'Request';'Feedback';33.333;33.333;32.051
'Precedence(Hello, Request)';'Precedence';'Request';'Hello';45.455;20.979;20.172
'AlternatePrecedence(Hello, Request)';'AlternatePrecedence';'Request';'Hello';9.091;4.196;4.034
'ChainPrecedence(Hello, Request)';'ChainPrecedence';'Request';'Hello';1.515;0.699;0.672
'Precedence(Query, Request)';'Precedence';'Request';'Query';93.939;93.939;90.326
'AlternatePrecedence(Query, Request)';'AlternatePrecedence';'Request';'Query';68.939;68.939;66.288
'ChainPrecedence(Query, Request)';'ChainPrecedence';'Request';'Query';60.606;60.606;58.275
'CoExistence(Request, Feedback)';'CoExistence';'Request';'Feedback';99.533;95.705;95.705
'Succession(Request, Feedback)';'Succession';'Request';'Feedback';94.393;90.762;90.762
'AlternateSuccession(Request, Feedback)';'AlternateSuccession';'Request';'Feedback';64.486;62.006;62.006
'ChainSuccession(Request, Feedback)';'ChainSuccession';'Request';'Feedback';46.729;44.932;44.932
'RespondedExistence(Request, Feedback)';'RespondedExistence';'Request';'Feedback';100.000;96.154;96.154
'Response(Request, Feedback)';'Response';'Request';'Feedback';93.182;89.598;89.598
'AlternateResponse(Request, Feedback)';'AlternateResponse';'Request';'Feedback';52.273;50.262;50.262
'ChainResponse(Request, Feedback)';'ChainResponse';'Request';'Feedback';37.879;36.422;36.422
